Date,Open,High,Low,Close,Adj Close,Volume
2019-08-20,141.429993,141.580002,140.300003,140.300003,139.685074,4300
2019-08-21,141.539993,141.539993,140.699997,141.009995,140.391968,7700
2019-08-22,141.500000,141.589996,140.179993,140.710007,140.093292,9300
2019-08-23,140.679993,140.679993,136.830002,137.339996,136.738052,4000
2019-08-26,138.539993,138.800003,138.059998,138.800003,138.191650,3300
2019-08-27,139.869995,140.229996,137.619995,137.619995,137.016815,23400
2019-08-28,137.130005,138.559998,137.130005,138.440002,137.833237,10600
2019-08-29,139.610001,139.610001,138.949997,139.440002,138.828842,4400
2019-08-30,140.119995,140.199997,139.000000,139.250000,138.639679,7500
2019-09-03,138.649994,139.869995,138.649994,139.440002,138.828842,7400
2019-09-04,140.149994,140.149994,139.119995,139.509995,138.898529,4200
2019-09-05,140.660004,140.880005,140.020004,140.759995,140.143051,108400
2019-09-06,140.830002,141.649994,140.779999,141.320007,140.700607,6200
2019-09-09,141.610001,141.610001,139.880005,140.789993,140.172928,3500
2019-09-10,139.949997,142.919998,139.889999,142.919998,142.293594,30800
2019-09-11,143.419998,144.880005,143.419998,144.830002,144.195221,14000
2019-09-12,145.179993,145.179993,143.910004,144.550003,143.916458,68600
2019-09-13,144.690002,145.479996,143.589996,143.789993,143.159775,120300
2019-09-16,142.740005,144.020004,142.660004,143.630005,143.000488,3900
2019-09-17,143.199997,143.500000,143.080002,143.369995,142.741623,3700
2019-09-18,143.300003,143.300003,142.360001,143.070007,142.442947,3300
2019-09-19,142.940002,144.160004,142.899994,142.990005,142.363297,6100
2019-09-20,144.559998,144.559998,144.229996,144.490005,143.856720,2100
2019-09-23,143.889999,144.270004,143.610001,143.740005,143.110001,6300
2019-09-24,143.309998,143.309998,141.539993,141.679993,141.679993,6300
2019-09-25,141.410004,141.940002,141.029999,141.190002,141.190002,43700
2019-09-26,141.259995,141.259995,139.440002,140.020004,140.020004,198200
2019-09-27,140.229996,140.470001,139.100006,139.100006,139.100006,106500
2019-09-30,139.449997,140.509995,139.449997,139.850006,139.850006,4700
2019-10-01,140.250000,140.880005,138.559998,139.000000,139.000000,114800
2019-10-02,137.460007,137.580002,136.660004,137.350006,137.350006,34700
2019-10-03,137.130005,138.820007,137.130005,138.820007,138.820007,2600
2019-10-04,138.949997,140.839996,138.949997,140.839996,140.839996,4300
2019-10-07,140.070007,141.050003,140.070007,140.399994,140.399994,17100
2019-10-08,139.130005,139.580002,138.279999,138.289993,138.289993,4500
2019-10-09,137.729996,138.389999,137.729996,138.059998,138.059998,7600
2019-10-10,137.729996,138.539993,137.729996,138.059998,138.059998,6300
2019-10-11,139.490005,141.050003,139.490005,140.119995,140.119995,19200
2019-10-14,139.720001,140.369995,139.720001,139.789993,139.789993,4500
2019-10-15,141.110001,142.889999,141.110001,142.429993,142.429993,193500
